市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,94345.T,ソフトバンク第１回社債型種類株式,5,3780.0,1800
プライム（内国株式）,94346.T,ソフトバンク第２回社債型種類株式,6,7640.0,3200
プライム（内国株式）,9435.T,光通信,3,41310.0,55100
スタンダード（内国株式）,9436.T,沖縄セルラー電話,1,5190.0,41900
プライム（内国株式）,9438.T,エムティーアイ,1,917.0,16700
スタンダード（内国株式）,9439.T,エム・エイチ・グループ,4,211.0,13700
スタンダード（内国株式）,9441.T,ベルパーク,1,2436.0,28100
スタンダード（内国株式）,9444.T,トーシンホールディングス,4,615.0,5100
スタンダード（内国株式）,9445.T,フォーバルテレコム,1,524.0,1100
スタンダード（内国株式）,9446.T,サカイホールディングス,1,458.0,28700
プライム（内国株式）,9449.T,ＧＭＯインターネットグループ,1,3866.0,200800
プライム（内国株式）,9450.T,ファイバーゲート,6,720.0,118600
スタンダード（内国株式）,9466.T,アイドママーケティングコミュニケーション,1,250.0,3600
グロース（内国株式）,9467.T,アルファポリス,6,1505.0,94800
プライム（内国株式）,9468.T,ＫＡＤＯＫＡＷＡ,4,3709.0,550000
プライム（内国株式）,9470.T,学研ホールディングス,1,972.0,24100
プライム（内国株式）,9474.T,ゼンリン,6,1073.0,62500
スタンダード（内国株式）,9475.T,昭文社ホールディングス,1,416.0,15200
スタンダード（内国株式）,9476.T,中央経済社ホールディングス,1,632.0,13200
スタンダード（内国株式）,9478.T,ＳＥホールディングス・アンド・インキュベーションズ,1,377.0,55800
プライム（内国株式）,9501.T,東京電力ホールディングス,1,618.5,149953300
プライム（内国株式）,9502.T,中部電力,1,1891.5,3311700
プライム（内国株式）,9503.T,関西電力,1,1909.5,9277900
プライム（内国株式）,9504.T,中国電力,1,823.9000244140625,2640600
プライム（内国株式）,9505.T,北陸電力,1,789.2000122070312,1593300
プライム（内国株式）,9506.T,東北電力,1,1066.5,2544800
プライム（内国株式）,9507.T,四国電力,1,1277.5,777900
プライム（内国株式）,9508.T,九州電力,1,1362.5,3069300
プライム（内国株式）,9509.T,北海道電力,1,977.0999755859375,22184200
プライム（内国株式）,9511.T,沖縄電力,1,973.0,220100
プライム（内国株式）,9513.T,電源開発,1,2673.5,906800
スタンダード（内国株式）,9514.T,エフオン,1,375.0,75300
プライム（内国株式）,9517.T,イーレックス,6,778.0,220900
プライム（内国株式）,9519.T,レノバ,1,739.0,543500
プライム（内国株式）,9531.T,東京瓦斯,1,5359.0,1215100
プライム（内国株式）,9532.T,大阪瓦斯,1,3964.0,916000
プライム（内国株式）,9533.T,東邦瓦斯,1,4421.0,205100
プライム（内国株式）,9534.T,北海道瓦斯,1,620.0,187500
プライム（内国株式）,9535.T,広島ガス,1,392.0,356700
プライム（内国株式）,9536.T,西部ガスホールディングス,1,1916.0,75700
スタンダード（内国株式）,9537.T,北陸瓦斯,1,3610.0,400
スタンダード（内国株式）,9539.T,京葉瓦斯,1,1188.0,56200
プライム（内国株式）,9543.T,静岡ガス,1,1160.0,136400
プライム（内国株式）,9551.T,メタウォーター,1,2805.0,270700
プライム（内国株式）,9552.T,Ｍ＆Ａ総研ホールディングス,2,1299.0,717600
グロース（内国株式）,9553.T,マイクロアド,1,532.0,326800
グロース（内国株式）,9554.T,ＡＶｉＣ,1,2162.0,31600
グロース（内国株式）,9556.T,ＩＮＴＬＯＯＰ,1,7060.0,26400
グロース（内国株式）,9557.T,エアークローゼット,1,488.0,12200
グロース（内国株式）,9558.T,ジャパニアス,1,2165.0,4000
グロース（内国株式）,9560.T,プログリット,4,1102.0,94000
グロース（内国株式）,9561.T,グラッドキューブ,4,748.0,4700
グロース（内国株式）,9562.T,ビジネスコーチ,4,1912.0,2500
グロース（内国株式）,9563.T,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2,324.0,17600
スタンダード（内国株式）,9564.T,ＦＣＥ,1,856.0,104400
グロース（内国株式）,9565.T,ＧＬＯＥ,4,960.0,9600
プライム（内国株式）,9600.T,アイネット,1,1938.0,9400
プライム（内国株式）,9601.T,松竹,5,13210.0,56100
プライム（内国株式）,9602.T,東宝,1,9319.0,912500
プライム（内国株式）,9603.T,エイチ・アイ・エス,6,1431.0,313900
プライム（内国株式）,9605.T,東映,1,5250.0,66300
スタンダード（内国株式）,9610.T,ウィルソン・ラーニング　ワールドワイド,5,124.0,76000
プライム（内国株式）,9612.T,ラックランド,1,1081.0,58800
プライム（内国株式）,9613.T,ＮＴＴデータグループ,4,3961.0,823500
プライム（内国株式）,9616.T,共立メンテナンス,2,3544.0,429500
プライム（内国株式）,9619.T,イチネンホールディングス,1,1712.0,24500
プライム（内国株式）,9621.T,建設技術研究所,1,3145.0,35400
プライム（内国株式）,9622.T,スペース,1,1330.0,52300
スタンダード（内国株式）,9625.T,セレスポ,1,1106.0,9900
プライム（内国株式）,9627.T,アインホールディングス,1,6035.0,47000
プライム（内国株式）,9628.T,燦ホールディングス,1,1589.0,26600
プライム（内国株式）,9629.T,ピー・シー・エー,1,1906.0,14800
スタンダード（内国株式）,9632.T,スバル興業,1,3275.0,20600
スタンダード（内国株式）,9633.T,東京テアトル,1,1241.0,20100
スタンダード（内国株式）,9635.T,武蔵野興業,1,2163.0,100
スタンダード（内国株式）,9636.T,きんえい,4,4015.0,300
スタンダード（内国株式）,9639.T,三協フロンテア,1,2020.0,21600
スタンダード（内国株式）,9640.T,セゾンテクノロジー,1,1932.0,3200
プライム（内国株式）,9644.T,タナベコンサルティンググループ,1,783.0,155400
スタンダード（内国株式）,9647.T,協和コンサルタンツ,1,6260.0,900
スタンダード（内国株式）,9651.T,日本プロセス,1,1445.0,5800
スタンダード（内国株式）,9656.T,グリーンランドリゾート,4,617.0,4400
